run_id,team_count,round_count,strategy_offset,archetype_offset,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
23,6,10,2,0,batch_023,Batch market 023,0.7713,0.0265,0.0044,0.0733,0.0577,0.2324,High,0.0604,0.0365,0,0.1502,Team 03,Cash conservative,4620.69,Team 05,Premium quality,68.0,Team 05,Team 05,Team 03,-4349.79,3
24,6,10,3,4,batch_024,Batch market 024,1.14,-0.0259,0.0492,-0.0364,0.1339,0.0446,High,-0.0039,0.0281,1,-0.0171,Team 02,Cash conservative,6906.36,Team 04,Premium quality,80.0,Team 04,Team 04,Team 02,-4652.81,3
25,6,10,0,1,batch_025,Batch market 025,0.7718,-0.053,0.1121,-0.0754,-0.072,0.2283,High,-0.2194,0.1112,1,-0.0871,Team 05,Cash conservative,5807.8,Team 01,Premium quality,80.0,Team 01,Team 01,Team 05,-11671.51,5
26,6,10,4,4,batch_026,Batch market 026,1.2765,-0.0564,-0.083,-0.0656,0.0185,0.0937,Moderate,-0.0111,0.0807,0,0.2023,Team 01,Cash conservative,4936.83,Team 01,Cash conservative,68.0,Team 03,Team 03,Team 01,-567.99,4
27,6,10,2,0,batch_027,Batch market 027,1.647,-0.031,-0.0085,-0.0693,0.0238,0.1747,Moderate,-0.1916,0.1019,-1,-0.0181,Team 01,Balanced S&OP,5981.2,Team 03,Cash conservative,68.0,Team 04,Team 04,Team 03,-474.65,4
28,6,10,0,2,batch_028,Batch market 028,0.8636,0.0405,-0.0619,-0.0768,0.1074,0.1705,High,0.2458,0.3338,0,0.2045,Team 05,Cash conservative,3808.77,Team 05,Cash conservative,76.0,Team 01,Team 01,Team 05,-4157.1,4
29,6,10,2,4,batch_029,Batch market 029,0.7545,0.0073,-0.0162,-0.0597,0.1042,0.0678,Moderate,-0.0199,0.132,0,-0.0574,Team 03,Cash conservative,5650.27,Team 03,Cash conservative,88.0,Team 01,Team 01,Team 03,-2400.8,5
30,6,10,3,2,batch_030,Batch market 030,1.1672,0.0919,0.1174,0.0966,0.0696,0.0846,Low,0.1053,-0.0766,0,-0.0565,Team 06,Balanced S&OP,4174.82,Team 06,Balanced S&OP,68.0,Team 04,Team 04,Team 06,-1535.34,4
31,6,10,1,0,batch_031,Batch market 031,1.2854,0.0722,0.0978,0.0778,0.069,0.0154,Moderate,-0.0459,0.0053,1,0.3361,Team 02,Balanced S&OP,3790.47,Team 02,Balanced S&OP,80.0,Team 06,Team 06,Team 02,-2092.36,3
32,6,10,3,2,batch_032,Batch market 032,1.284,0.0641,-0.0102,-0.0344,-0.097,-0.0277,Moderate,0.2319,-0.0643,1,0.2137,Team 06,Balanced S&OP,5932.49,Team 04,Premium quality,68.0,Team 04,Team 04,Team 06,-2186.26,4
33,6,10,4,0,batch_033,Batch market 033,0.9178,0.0479,-0.0431,-0.0703,0.0055,0.1648,Moderate,-0.0548,0.3628,1,0.2052,Team 01,Cash conservative,5668.91,Team 03,Premium quality,72.0,Team 03,Team 03,Team 01,-4824.53,4
34,6,10,1,2,batch_034,Batch market 034,1.17,0.0946,-0.0181,0.0055,-0.0101,-0.0201,Low,-0.0536,0.2824,0,0.1749,Team 04,Cash conservative,7581.58,Team 04,Cash conservative,68.0,Team 06,Team 06,Team 04,567.52,4
35,6,10,1,0,batch_035,Batch market 035,1.3777,-0.0441,0.0718,0.0247,-0.0771,0.1309,Low,0.172,0.1039,0,-0.0035,Team 04,Cash conservative,4796.17,Team 04,Cash conservative,76.0,Team 06,Team 06,Team 02,-574.21,4
36,6,10,0,3,batch_036,Batch market 036,0.892,-0.0016,0.0016,-0.0478,0.0485,0.2085,Moderate,0.1095,0.358,0,0.2149,Team 03,Balanced S&OP,6351.27,Team 03,Balanced S&OP,80.0,Team 02,Team 02,Team 05,-6424.63,5
37,6,10,1,4,batch_037,Batch market 037,1.3034,0.0525,0.0599,-0.0125,0.1113,0.1758,Moderate,-0.0057,0.2097,0,0.3029,Team 04,Cash conservative,5172.12,Team 04,Cash conservative,68.0,Team 06,Team 06,Team 04,-2725.88,4
38,6,10,2,4,batch_038,Batch market 038,1.0732,-0.0209,-0.1197,-0.0766,0.1365,0.0172,High,-0.038,0.2901,0,0.329,Team 03,Cash conservative,6129.4,Team 03,Cash conservative,84.0,Team 06,Team 06,Team 03,354.49,3
39,6,10,2,1,batch_039,Batch market 039,0.8447,-0.0559,0.0129,0.0357,-0.07,0.205,High,-0.0515,0.1347,0,0.0826,Team 02,Innovation leap,-3033.93,Team 05,Premium quality,92.0,Team 05,Team 05,Team 05,-11411.36,5
40,6,10,0,2,batch_040,Batch market 040,1.6812,0.1081,-0.139,0.0539,0.084,0.1013,Moderate,-0.0864,-0.0252,0,0.2727,Team 05,Cash conservative,5152.5,Team 05,Cash conservative,68.0,Team 01,Team 01,Team 05,-1996.1,4
41,6,10,0,1,batch_041,Batch market 041,1.5535,0.1049,-0.0364,-0.0879,-0.0277,-0.0238,Moderate,-0.1554,0.2861,0,0.2033,Team 05,Cash conservative,7622.5,Team 05,Cash conservative,68.0,Team 01,Team 01,Team 05,561.94,4
42,6,10,1,3,batch_042,Batch market 042,0.9527,-0.0455,0.1108,0.0759,0.0408,0.0242,High,0.1289,0.371,1,0.091,Team 04,Cash conservative,6022.83,Team 04,Cash conservative,72.0,Team 06,Team 06,Team 04,-5843.53,5
43,6,10,5,0,batch_043,Batch market 043,1.6345,0.0899,0.102,-0.0166,0.0868,-0.0159,Moderate,0.2162,0.2888,0,0.0646,Team 06,Cash conservative,7539.42,Team 06,Cash conservative,68.0,Team 02,Team 02,Team 06,1407.15,4
44,6,10,5,1,batch_044,Batch market 044,0.8832,0.0871,-0.1056,-0.0448,-0.0928,0.0347,Moderate,-0.2025,-0.0284,0,0.2338,Team 06,Cash conservative,6147.29,Team 06,Cash conservative,68.0,Team 02,Team 02,Team 06,-2585.75,4
45,6,10,2,0,batch_045,Batch market 045,1.3383,-0.0512,0.0255,-0.0216,-0.0474,0.1408,High,-0.1244,0.0504,1,-0.0394,Team 03,Cash conservative,5515.85,Team 03,Cash conservative,68.0,Team 05,Team 05,Team 03,-4754.7,3
46,6,10,4,3,batch_046,Batch market 046,1.3586,0.0443,0.0128,-0.0998,0.096,0.1659,Moderate,-0.2043,0.1088,0,0.1536,Team 05,Balanced S&OP,2915.29,Team 03,Premium quality,68.0,Team 03,Team 03,Team 05,-2442.69,4
47,6,10,3,0,batch_047,Batch market 047,1.2585,-0.0352,0.0024,0.0329,-0.0968,0.029,Moderate,0.3194,0.0199,0,-0.1006,Team 02,Cash conservative,6237.74,Team 02,Cash conservative,84.0,Team 05,Team 05,Team 02,1288.63,4
48,6,10,5,2,batch_048,Batch market 048,0.8441,0.1072,0.0549,0.015,0.1063,0.2326,Moderate,0.2487,0.1588,-1,-0.0092,Team 04,Balanced S&OP,5034.94,Team 06,Cash conservative,68.0,Team 03,Team 03,Team 06,-804.43,5
49,6,10,1,1,batch_049,Batch market 049,1.3004,0.022,0.1179,-0.0425,-0.0695,-0.0235,Moderate,0.086,0.2983,1,0.0919,Team 04,Cash conservative,6250.75,Team 04,Cash conservative,68.0,Team 06,Team 06,Team 04,-773.55,4
50,6,10,2,0,batch_050,Batch market 050,0.8344,0.0469,-0.0766,-0.0364,-0.0661,0.1035,Moderate,0.0251,0.0259,0,0.1234,Team 03,Cash conservative,5890.64,Team 03,Cash conservative,64.0,Team 05,Team 05,Team 03,-2541.96,4
51,6,10,2,0,batch_051,Batch market 051,1.5968,0.0898,0.1227,-0.0839,0.0896,0.1225,High,0.2438,0.0376,1,0.3133,Team 03,Cash conservative,5693.17,Team 03,Cash conservative,68.0,Team 05,Team 05,Team 03,-4035.38,3
52,6,10,2,1,batch_052,Batch market 052,1.5471,0.0458,0.0168,-0.0376,-0.0448,0.1374,Moderate,0.1775,-0.0699,1,-0.0358,Team 03,Cash conservative,1821.14,Team 05,Premium quality,76.0,Team 05,Team 05,Team 03,-4991.4,4
53,6,10,0,4,batch_053,Batch market 053,0.7252,-0.0295,0.0138,-0.0557,0.0714,0.022,High,-0.0272,0.2177,1,0.1093,Team 05,Cash conservative,1558.04,Team 01,Premium quality,80.0,Team 01,Team 01,Team 05,-5672.28,4
54,6,10,1,4,batch_054,Batch market 054,1.7088,0.0095,-0.1388,-0.0223,0.1144,-0.0397,High,-0.1419,0.2576,-1,-0.0814,Team 02,Balanced S&OP,9605.48,Team 04,Cash conservative,68.0,Team 05,Team 05,Team 04,1291.94,3
55,6,10,3,1,batch_055,Batch market 055,0.6967,-0.0086,-0.0419,0.0327,-0.0657,0.0811,High,0.241,0.0652,0,0.2336,Team 02,Cash conservative,6106.09,Team 02,Cash conservative,68.0,Team 04,Team 04,Team 02,-5571.45,4
56,6,10,1,1,batch_056,Batch market 056,1.2492,0.0637,-0.0264,-0.0626,-0.0526,0.0725,Low,-0.0555,0.0021,-1,-0.0632,Team 02,Balanced S&OP,6877.74,Team 04,Cash conservative,64.0,Team 01,Team 01,Team 04,694.55,4
57,6,10,0,2,batch_057,Batch market 057,1.4627,0.0565,0.1185,0.0566,-0.1287,0.0368,Moderate,-0.1783,0.0034,0,0.2872,Team 05,Cash conservative,6116.84,Team 05,Cash conservative,72.0,Team 01,Team 01,Team 05,150.07,4
58,6,10,1,0,batch_058,Batch market 058,1.6972,0.0457,-0.027,0.0889,0.005,0.1903,High,0.0245,0.3454,1,0.1811,Team 04,Cash conservative,1008.35,Team 06,Premium quality,76.0,Team 06,Team 06,Team 06,-4730.65,4
59,6,10,4,4,batch_059,Batch market 059,1.4748,0.093,-0.0583,0.0936,0.0549,0.0252,Moderate,0.0691,-0.0504,0,0.1382,Team 01,Cash conservative,5706.09,Team 01,Cash conservative,68.0,Team 03,Team 03,Team 01,634.31,4
60,6,10,5,2,batch_060,Batch market 060,0.8666,-0.0603,0.1384,-0.067,0.1176,0.0196,High,0.1375,0.1871,-1,0.059,Team 06,Cash conservative,6706.13,Team 06,Cash conservative,84.0,Team 05,Team 05,Team 06,-3354.62,5
61,6,10,1,2,batch_061,Batch market 061,1.5023,-0.0408,-0.1068,-0.0061,-0.1248,0.1449,Moderate,0.195,-0.0459,1,0.0314,Team 04,Cash conservative,5874.75,Team 06,Premium quality,72.0,Team 06,Team 06,Team 04,-3043.99,4
62,6,10,4,1,batch_062,Batch market 062,1.1242,0.0734,-0.0711,0.0757,-0.0405,0.0627,High,0.285,0.2783,1,0.2167,Team 01,Cash conservative,5436.11,Team 01,Cash conservative,68.0,Team 03,Team 03,Team 01,-2170.13,3
63,6,10,3,1,batch_063,Batch market 063,1.7466,-0.0483,0.0198,0.0002,0.0189,0.2336,Low,0.0395,0.1571,1,0.0633,Team 02,Cash conservative,4601.72,Team 02,Cash conservative,68.0,Team 04,Team 04,Team 02,-4896.74,4
64,6,10,4,0,batch_064,Batch market 064,1.6955,0.0964,-0.0806,0.0819,0.0942,0.1793,Moderate,0.0692,-0.0241,-1,0.0568,Team 01,Cash conservative,5523.24,Team 01,Cash conservative,80.0,Team 04,Team 04,Team 01,-3812.01,4
65,6,10,0,4,batch_065,Batch market 065,1.1146,-0.0238,-0.1154,0.0714,-0.0513,0.2304,Low,-0.1387,0.3137,-1,0.0192,Team 05,Cash conservative,6028.79,Team 05,Cash conservative,84.0,Team 05,Team 02,Team 03,327.11,4
66,6,10,3,3,batch_066,Batch market 066,1.0117,-0.0654,-0.0436,0.0472,0.055,0.2387,Moderate,-0.1153,0.263,1,-0.0156,Team 02,Cash conservative,3321.95,Team 04,Premium quality,80.0,Team 04,Team 04,Team 02,-5682.56,4
67,6,10,3,0,batch_067,Batch market 067,1.6343,0.0447,-0.1039,0.0193,-0.0409,0.0492,High,0.2442,0.0097,1,-0.0337,Team 06,Balanced S&OP,5653.2,Team 06,Balanced S&OP,76.0,Team 04,Team 04,Team 02,-1812.62,3
68,6,10,3,2,batch_068,Batch market 068,1.0404,0.055,0.1368,-0.0148,0.0471,0.1689,High,-0.0516,-0.0128,0,0.0712,Team 06,Balanced S&OP,3045.64,Team 06,Balanced S&OP,76.0,Team 04,Team 04,Team 06,-2953.66,3
69,6,10,0,3,batch_069,Batch market 069,1.5094,0.0707,0.0207,0.0994,0.1313,0.1611,Moderate,-0.1877,0.1701,0,-0.0909,Team 05,Cash conservative,5320.24,Team 05,Cash conservative,72.0,Team 06,Team 06,Team 05,-2723.52,4
70,6,10,5,1,batch_070,Batch market 070,0.9,-0.0074,0.0698,0.07,0.0656,0.1124,Moderate,-0.0023,0.179,-1,0.1803,Team 04,Balanced S&OP,7422.62,Team 06,Cash conservative,72.0,Team 03,Team 01,Team 06,-6236.54,4
71,6,10,3,0,batch_071,Batch market 071,1.2147,-0.0412,0.029,0.0336,0.0852,0.1673,Moderate,-0.0241,0.2182,1,0.3249,Team 02,Cash conservative,4159.43,Team 02,Cash conservative,68.0,Team 04,Team 04,Team 02,-3026.19,5
72,6,10,4,0,batch_072,Batch market 072,0.9493,0.109,0.1294,-0.0829,0.0329,0.1767,Low,0.144,0.0399,0,0.321,Team 01,Cash conservative,5544.32,Team 03,Premium quality,72.0,Team 03,Team 03,Team 01,-3476.99,4
73,6,10,0,3,batch_073,Batch market 073,0.9942,0.0478,-0.0621,-0.0658,0.0593,0.1235,Low,0.0763,0.1117,-1,0.3221,Team 03,Balanced S&OP,6812.24,Team 05,Cash conservative,68.0,Team 06,Team 06,Team 05,-1731.18,4
74,6,10,2,0,batch_074,Batch market 074,1.3974,0.1064,-0.0934,-0.0479,-0.0722,-0.0106,Moderate,0.0262,0.2242,0,0.1845,Team 03,Cash conservative,7012.16,Team 03,Cash conservative,68.0,Team 05,Team 05,Team 03,81.58,4
75,6,10,0,1,batch_075,Batch market 075,0.9786,0.0699,0.0427,-0.0632,-0.009,0.1416,High,-0.0322,0.1351,1,0.2138,Team 05,Cash conservative,5903.2,Team 01,Premium quality,72.0,Team 01,Team 01,Team 05,-3502.29,4
76,6,10,0,4,batch_076,Batch market 076,1.5873,0.0681,-0.1211,-0.0851,0.0016,-0.0049,Moderate,0.2041,0.2124,-1,0.3253,Team 03,Balanced S&OP,6671.95,Team 03,Balanced S&OP,88.0,Team 02,Team 02,Team 03,1806.04,3
77,6,10,4,3,batch_077,Batch market 077,1.3136,0.0048,0.0546,-0.0545,0.1048,0.0745,High,-0.1422,-0.0544,1,0.0509,Team 05,Balanced S&OP,4508.09,Team 03,Premium quality,80.0,Team 03,Team 03,Team 05,-3282.22,3
78,6,10,4,0,batch_078,Batch market 078,0.8147,0.0624,-0.0433,-0.0015,-0.0855,0.2012,Moderate,-0.0566,-0.0501,1,0.2038,Team 01,Cash conservative,5296.32,Team 03,Premium quality,72.0,Team 03,Team 03,Team 01,-5093.09,4
79,6,10,1,0,batch_079,Batch market 079,0.797,-0.063,-0.0227,0.0043,-0.0609,0.0595,Moderate,-0.0855,0.2147,-1,0.2462,Team 03,Innovation leap,-2533.83,Team 02,Balanced S&OP,64.0,Team 02,Team 02,Team 06,-8354.45,5
80,6,10,3,2,batch_080,Batch market 080,1.7021,0.0282,0.0342,-0.0051,0.0259,-0.0364,High,0.0786,0.0551,0,0.0249,Team 06,Balanced S&OP,6236.28,Team 06,Balanced S&OP,76.0,Team 04,Team 04,Team 06,100.18,3
81,6,10,2,3,batch_081,Batch market 081,1.5107,-0.0289,0.0502,-0.0479,-0.0027,0.1879,Low,-0.1187,0.3711,-1,0.2435,Team 03,Cash conservative,5429.59,Team 03,Cash conservative,76.0,Team 06,Team 06,Team 03,-4295.41,4
82,6,10,3,0,batch_082,Batch market 082,1.342,0.0522,0.0499,0.0919,-0.0702,-0.0326,High,0.1969,0.2301,0,0.0834,Team 06,Balanced S&OP,6992.15,Team 06,Balanced S&OP,88.0,Team 05,Team 05,Team 02,1910.25,3
83,6,10,1,0,batch_083,Batch market 083,0.8228,0.0778,-0.0787,-0.0935,0.1151,-0.0013,Low,-0.1891,0.0873,-1,0.2025,Team 05,Aggressive growth,9807.46,Team 02,Balanced S&OP,68.0,Team 01,Team 01,Team 02,5205.87,3
84,6,10,1,1,batch_084,Batch market 084,0.8092,-0.0315,-0.0004,0.0688,-0.0357,0.0837,Moderate,-0.0782,0.3702,0,0.1115,Team 02,Balanced S&OP,6579.7,Team 02,Balanced S&OP,76.0,Team 06,Team 06,Team 04,-2268.76,4
85,6,10,4,3,batch_085,Batch market 085,0.7672,0.0531,0.0506,-0.0408,-0.1252,0.1718,Low,0.2558,0.1849,1,0.0428,Team 01,Cash conservative,7175.26,Team 01,Cash conservative,76.0,Team 03,Team 03,Team 05,-1760.09,4
86,6,10,1,1,batch_086,Batch market 086,1.523,0.0055,0.0977,-0.035,-0.0387,0.2239,High,0.1214,-0.0173,1,0.1812,Team 04,Cash conservative,3456.16,Team 06,Premium quality,76.0,Team 06,Team 06,Team 04,-4344.66,4
87,6,10,0,3,batch_087,Batch market 087,0.7519,-0.0061,0.0624,0.0388,0.0199,0.1296,High,0.1826,0.041,-1,-0.0951,Team 03,Balanced S&OP,6770.3,Team 05,Cash conservative,76.0,Team 06,Team 04,Team 05,-7507.7,5
88,6,10,0,1,batch_088,Batch market 088,1.2306,-0.0109,-0.1205,0.0511,-0.127,0.2027,High,0.1376,0.0414,0,-0.0405,Team 05,Cash conservative,5272.69,Team 05,Cash conservative,68.0,Team 01,Team 01,Team 05,-1856.5,4
89,6,10,5,2,batch_089,Batch market 089,1.0598,-0.0429,-0.0066,0.0162,0.1161,0.1231,Moderate,-0.1284,0.1343,1,0.1576,Team 06,Cash conservative,5693.48,Team 06,Cash conservative,68.0,Team 02,Team 02,Team 06,-1123.19,5
90,6,10,0,0,batch_090,Batch market 090,1.5433,0.0127,0.0112,0.089,0.0037,0.2286,Moderate,0.3101,-0.026,1,-0.0429,Team 05,Cash conservative,3433.1,Team 01,Premium quality,76.0,Team 01,Team 01,Team 05,-4295.01,4
91,6,10,4,3,batch_091,Batch market 091,1.2836,0.001,-0.1179,-0.0694,-0.1248,0.116,High,0.1804,0.1912,0,-0.0015,Team 05,Balanced S&OP,3871.66,Team 05,Balanced S&OP,76.0,Team 03,Team 03,Team 05,-1743.32,3
92,6,10,4,2,batch_092,Batch market 092,0.6551,-0.0431,0.1113,0.0733,0.0234,0.0534,Low,0.157,0.0853,0,0.078,Team 01,Cash conservative,10088.73,Team 03,Premium quality,80.0,Team 03,Team 03,Team 01,-9434.6,4
93,6,10,3,1,batch_093,Batch market 093,1.0731,-0.0323,-0.0507,-0.0906,0.0216,0.2151,Moderate,-0.2042,0.0549,0,0.3287,Team 02,Cash conservative,4788.96,Team 04,Premium quality,68.0,Team 04,Team 04,Team 02,-4905.66,4
94,6,10,3,0,batch_094,Batch market 094,1.3577,0.1064,-0.128,0.0778,-0.0633,0.184,Low,-0.2175,0.346,1,0.2913,Team 02,Cash conservative,3925.57,Team 04,Premium quality,72.0,Team 04,Team 04,Team 02,-3493.68,4
95,6,10,3,3,batch_095,Batch market 095,0.8375,0.0508,-0.091,0.0824,-0.1127,0.1375,Moderate,0.3029,0.0281,0,0.3367,Team 02,Cash conservative,4456.56,Team 02,Cash conservative,68.0,Team 04,Team 04,Team 02,-613.97,4
96,6,10,0,3,batch_096,Batch market 096,1.4947,0.0555,0.0163,0.0622,-0.0976,0.0319,Low,-0.1265,-0.0311,1,0.0221,Team 05,Cash conservative,6588.08,Team 05,Cash conservative,68.0,Team 01,Team 01,Team 05,-3387.05,4
97,6,10,1,2,batch_097,Batch market 097,1.0919,0.0987,-0.1067,0.0012,0.1394,0.0817,Moderate,-0.1856,-0.0001,1,0.1055,Team 04,Cash conservative,6526.34,Team 06,Premium quality,72.0,Team 06,Team 06,Team 04,-3075.67,4
98,6,10,3,4,batch_098,Batch market 098,1.5421,0.0498,-0.042,-0.0174,0.0051,0.1916,Moderate,-0.0704,-0.0751,1,-0.0664,Team 02,Cash conservative,5388.67,Team 04,Premium quality,80.0,Team 04,Team 04,Team 02,-6000.15,4
99,6,10,0,0,batch_099,Batch market 099,1.5154,0.0995,-0.1264,-0.0236,0.0882,0.1014,High,0.289,0.3571,0,-0.0284,Team 05,Cash conservative,4824.8,Team 03,Balanced S&OP,72.0,Team 01,Team 01,Team 05,-359.18,3
100,6,10,5,2,batch_100,Batch market 100,0.8217,0.0654,-0.0843,-0.0616,0.0022,-0.0398,High,-0.1861,0.0298,0,0.1972,Team 06,Cash conservative,7297.61,Team 06,Cash conservative,84.0,Team 03,Team 03,Team 06,2367.8,3
