run_id,team_count,round_count,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
30,8,4,batch_030,Batch market 030,0.7332,0.0159,-0.0918,0.0132,-0.0183,0.0683,Moderate,-0.0314,0.0161,1,0.3051,Team 05,Cash conservative,2864.8,Team 05,Cash conservative,80.0,Team 08,Team 05,Team 05,-9945.01,7
31,8,4,batch_031,Batch market 031,0.8189,0.0353,0.0816,0.0955,0.1198,0.0369,Moderate,0.2694,0.0196,0,-0.069,Team 04,Innovation leap,11157.17,Team 05,Cash conservative,74.3,Team 08,Team 05,Team 05,-3879.94,5
32,6,4,batch_032,Batch market 032,1.4584,0.0876,-0.0365,-0.0575,-0.0372,0.043,Low,0.1562,0.2317,1,-0.031,Team 01,Premium quality,11527.66,Team 01,Premium quality,68.0,Team 04,Team 02,Team 01,6953.27,2
33,7,4,batch_033,Batch market 033,1.564,0.0051,0.0493,-0.0916,-0.0312,-0.0337,Moderate,-0.0173,0.2514,-1,0.0478,Team 07,Premium quality,13763.99,Team 07,Premium quality,80.0,Team 02,Team 06,Team 07,10014.13,2
34,6,4,batch_034,Batch market 034,0.8299,0.087,0.057,-0.0739,0.1142,0.1606,Moderate,-0.1437,0.2361,0,0.1691,Team 05,Cash conservative,10651.01,Team 03,Balanced S&OP,72.0,Team 06,Team 03,Team 05,3915.11,4
35,4,4,batch_035,Batch market 035,1.0762,0.0828,0.0804,0.0437,0.0711,0.2266,Low,0.0165,0.2088,1,0.2914,Team 01,Premium quality,8500.09,Team 01,Premium quality,60.0,Team 04,Team 02,Team 01,2534.66,1
36,5,4,batch_036,Batch market 036,0.6927,0.0716,-0.0846,-0.0355,-0.0881,0.0387,High,-0.147,0.155,0,-0.0463,Team 01,Premium quality,12274.37,Team 01,Premium quality,90.0,Team 02,Team 03,Team 01,7536.13,2
37,5,4,batch_037,Batch market 037,0.7788,0.0127,-0.0789,0.089,0.0289,0.2009,Low,-0.1969,0.0394,1,0.2719,Team 05,Cash conservative,10607.0,Team 01,Premium quality,70.0,Team 03,Team 03,Team 05,1798.03,3
38,7,4,batch_038,Batch market 038,0.9178,0.0479,-0.0431,-0.0703,0.0055,0.1648,Moderate,-0.0548,0.3628,1,0.2052,Team 05,Cash conservative,7982.18,Team 05,Cash conservative,70.0,Team 06,Team 07,Team 05,-264.81,4
39,8,4,batch_039,Batch market 039,1.4073,-0.0043,0.0476,0.024,-0.0216,0.1588,High,-0.1186,0.0812,1,-0.0556,Team 01,Premium quality,9265.42,Team 07,Premium quality,82.9,Team 02,Team 03,Team 01,4030.68,4
40,9,4,batch_040,Batch market 040,1.4822,0.0422,-0.1189,0.0229,-0.0971,0.0229,High,-0.1862,0.2243,0,0.1665,Team 07,Premium quality,12864.88,Team 07,Premium quality,87.5,Team 02,Team 03,Team 01,6479.28,4
41,5,4,batch_041,Batch market 041,1.6745,-0.0513,0.1347,0.0662,0.0246,-0.0132,Moderate,-0.1304,0.3133,0,0.0625,Team 01,Premium quality,12450.37,Team 01,Premium quality,70.0,Team 02,Team 02,Team 01,9579.63,1
42,8,4,batch_042,Batch market 042,1.4176,-0.0552,-0.0349,-0.0615,-0.1061,0.09,High,-0.1145,0.0125,-1,0.1651,Team 01,Premium quality,9336.21,Team 03,Balanced S&OP,85.7,Team 08,Team 03,Team 01,4877.21,4
43,9,4,batch_043,Batch market 043,1.7183,-0.06,0.0604,-0.0728,0.1319,0.2067,Moderate,-0.1068,0.2241,-1,0.354,Team 05,Cash conservative,8120.65,Team 01,Premium quality,75.0,Team 08,Team 03,Team 01,-126.01,6
44,9,4,batch_044,Batch market 044,0.7928,0.07,0.1332,0.0716,0.1045,0.0855,Low,0.0066,0.3503,0,0.2014,Team 04,Innovation leap,11219.88,Team 01,Premium quality,77.5,Team 06,Team 05,Team 05,-8316.59,7
45,8,4,batch_045,Batch market 045,1.5342,-0.0381,0.1169,0.0092,0.0499,-0.018,Moderate,0.2526,0.0635,0,0.0762,Team 01,Premium quality,12297.07,Team 07,Premium quality,80.0,Team 08,Team 03,Team 01,7460.07,4
46,5,4,batch_046,Batch market 046,1.022,-0.0363,-0.0218,-0.0484,0.0471,0.2229,High,0.1034,0.1158,0,-0.0012,Team 01,Premium quality,8566.33,Team 01,Premium quality,80.0,Team 02,Team 03,Team 01,4526.28,2
47,4,4,batch_047,Batch market 047,1.6678,0.0431,-0.0939,0.0339,0.0662,0.2299,High,0.2324,0.0902,-1,0.3139,Team 01,Premium quality,8450.41,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,4042.98,2
48,7,4,batch_048,Batch market 048,1.7382,0.0065,-0.1238,-0.0761,0.0828,0.1486,High,-0.1808,0.3296,-1,0.1899,Team 01,Premium quality,9785.28,Team 01,Premium quality,66.7,Team 02,Team 06,Team 01,6338.33,3
49,4,4,batch_049,Batch market 049,1.7284,0.0817,-0.0629,-0.0728,-0.0758,0.1957,Moderate,0.2044,0.1223,0,0.0288,Team 01,Premium quality,9009.77,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,4907.16,1
50,4,4,batch_050,Batch market 050,1.627,-0.0545,-0.0232,0.062,0.0275,0.1862,High,0.213,0.0567,0,0.1893,Team 01,Premium quality,9175.37,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,5049.3,2
51,10,4,batch_051,Batch market 051,1.4721,-0.0111,-0.0648,-0.0467,-0.0574,0.1811,High,0.1608,0.2544,-1,0.1965,Team 10,Innovation leap,10234.92,Team 01,Premium quality,88.9,Team 08,Team 03,Team 01,861.64,6
52,9,4,batch_052,Batch market 052,0.8837,-0.0333,-0.0931,0.0433,-0.1248,-0.0265,Moderate,-0.2117,-0.0703,0,0.3281,Team 04,Innovation leap,10679.3,Team 05,Cash conservative,75.0,Team 07,Team 05,Team 05,-8635.55,7
53,4,4,batch_053,Batch market 053,0.9972,0.0169,-0.0571,-0.0881,-0.0978,0.0276,Moderate,0.2011,0.312,1,0.0728,Team 01,Premium quality,11774.22,Team 01,Premium quality,60.0,Team 04,Team 02,Team 01,7518.34,1
54,6,4,batch_054,Batch market 054,1.3004,0.0181,-0.0079,-0.02,-0.1166,0.1024,Low,0.1387,-0.009,0,-0.0185,Team 01,Premium quality,10557.11,Team 01,Premium quality,72.0,Team 02,Team 06,Team 01,6808.81,2
55,7,4,batch_055,Batch market 055,1.3379,0.0741,-0.0792,-0.0737,-0.0587,0.0541,Moderate,0.1217,0.2269,0,0.3525,Team 07,Premium quality,13524.39,Team 07,Premium quality,80.0,Team 02,Team 06,Team 07,8540.89,2
56,7,4,batch_056,Batch market 056,1.1992,-0.0289,0.103,0.0038,-0.1241,0.2072,High,0.2744,0.3438,0,-0.0704,Team 01,Premium quality,7231.41,Team 01,Premium quality,80.0,Team 02,Team 03,Team 01,2059.55,3
57,8,4,batch_057,Batch market 057,1.6073,-0.0313,0.0031,-0.0882,0.0186,-0.0289,High,0.0184,0.027,0,0.0327,Team 07,Premium quality,13593.51,Team 07,Premium quality,91.4,Team 02,Team 03,Team 07,9253.72,3
58,6,4,batch_058,Batch market 058,1.6687,-0.0455,-0.0345,0.0723,0.084,0.1166,High,0.1707,0.3205,1,0.3304,Team 01,Premium quality,10310.55,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,5076.21,3
59,4,4,batch_059,Batch market 059,1.6008,0.0259,-0.0646,0.0422,-0.0345,0.145,Moderate,0.0155,0.0095,1,-0.08,Team 01,Premium quality,9849.68,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,3806.09,1
60,8,4,batch_060,Batch market 060,1.692,0.0578,-0.0092,0.0504,-0.0088,0.1266,Low,0.3145,-0.0054,1,0.1716,Team 01,Premium quality,10144.95,Team 01,Premium quality,68.6,Team 02,Team 08,Team 07,6315.75,2
61,5,4,batch_061,Batch market 061,0.896,0.0166,-0.082,-0.0916,-0.0809,0.0001,Moderate,0.2749,-0.0563,0,-0.0994,Team 01,Premium quality,12806.11,Team 01,Premium quality,85.0,Team 02,Team 03,Team 01,8477.92,2
62,5,4,batch_062,Batch market 062,1.6493,0.0678,-0.1345,0.0615,-0.1388,0.2295,Moderate,0.0184,-0.0795,0,0.02,Team 01,Premium quality,8450.41,Team 01,Premium quality,70.0,Team 02,Team 02,Team 01,4649.58,1
63,7,4,batch_063,Batch market 063,1.0355,0.0494,-0.0797,-0.002,0.0305,0.0343,Moderate,0.2582,-0.0605,0,0.261,Team 01,Premium quality,12311.95,Team 01,Premium quality,80.0,Team 02,Team 03,Team 05,6172.62,4
64,7,4,batch_064,Batch market 064,1.083,-0.0451,0.1322,0.0413,-0.0876,-0.0365,High,0.2813,0.0946,-1,0.2365,Team 01,Premium quality,9714.36,Team 01,Premium quality,90.0,Team 06,Team 01,Team 01,5522.35,3
65,7,4,batch_065,Batch market 065,1.6773,-0.0637,0.1299,-0.0236,0.1177,0.0332,Low,-0.1345,0.3446,-1,-0.0103,Team 07,Premium quality,12311.59,Team 07,Premium quality,86.7,Team 02,Team 06,Team 07,7766.6,3
66,4,4,batch_066,Batch market 066,0.8923,-0.0371,-0.0632,-0.0845,-0.0893,0.1975,High,0.2118,-0.0603,0,0.1286,Team 01,Premium quality,8978.49,Team 01,Premium quality,66.7,Team 02,Team 03,Team 01,4803.72,2
67,10,4,batch_067,Batch market 067,1.7102,-0.0162,0.1042,-0.0362,0.1226,0.097,Low,0.1706,0.2086,0,0.0851,Team 10,Innovation leap,11360.6,Team 01,Premium quality,75.6,Team 06,Team 03,Team 01,2997.3,7
68,9,4,batch_068,Batch market 068,0.906,0.0264,0.0549,-0.0087,0.07,-0.022,High,0.015,0.2263,1,0.2669,Team 05,Cash conservative,5675.19,Team 05,Cash conservative,80.0,Team 02,Team 05,Team 05,-3971.73,6
69,8,4,batch_069,Batch market 069,1.6794,-0.0345,0.0019,0.0989,-0.0938,-0.025,High,-0.1051,0.2245,1,0.0522,Team 07,Premium quality,13955.77,Team 07,Premium quality,80.0,Team 02,Team 03,Team 07,8472.01,3
70,6,4,batch_070,Batch market 070,0.7098,0.0278,-0.1228,-0.0421,-0.1068,0.1769,Moderate,-0.1325,0.2237,-1,-0.0142,Team 04,Innovation leap,6110.64,Team 01,Premium quality,72.0,Team 03,Team 01,Team 05,-2988.79,4
71,6,4,batch_071,Batch market 071,1.041,0.0753,0.1374,-0.0364,-0.0711,0.0807,High,0.2101,0.0888,-1,0.0428,Team 01,Premium quality,10902.06,Team 01,Premium quality,72.0,Team 02,Team 06,Team 01,6999.02,3
72,10,4,batch_072,Batch market 072,1.2012,0.0321,0.0253,0.0266,-0.0847,-0.0277,Moderate,0.3183,-0.0244,0,0.2048,Team 10,Innovation leap,12456.39,Team 01,Premium quality,75.6,Team 06,Team 01,Team 05,231.54,7
73,7,4,batch_073,Batch market 073,1.362,-0.0318,-0.0379,-0.0236,0.0905,0.2147,Moderate,0.2316,0.1269,0,-0.0616,Team 01,Premium quality,8084.2,Team 01,Premium quality,80.0,Team 06,Team 03,Team 01,3125.15,3
74,4,4,batch_074,Batch market 074,0.723,-0.0542,0.0712,-0.0435,-0.0369,0.2,High,-0.0489,-0.021,0,0.3261,Team 01,Premium quality,7790.0,Team 01,Premium quality,73.3,Team 02,Team 03,Team 01,3044.41,2
75,9,4,batch_075,Batch market 075,1.6936,0.091,0.0996,-0.085,-0.1148,0.1348,High,-0.0341,0.2585,1,0.0189,Team 07,Premium quality,10442.87,Team 07,Premium quality,70.0,Team 02,Team 08,Team 01,4749.13,5
76,4,4,batch_076,Batch market 076,1.7046,0.0714,0.1387,-0.0612,0.0688,0.0545,Moderate,0.0209,0.2372,1,0.1562,Team 01,Premium quality,11330.78,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,5756.58,1
77,4,4,batch_077,Batch market 077,1.5956,-0.0349,0.053,0.079,0.0384,0.2232,Moderate,0.1436,0.1213,0,0.0453,Team 01,Premium quality,8566.33,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,4317.62,1
78,6,4,batch_078,Batch market 078,1.4138,0.0643,-0.0207,0.0337,0.1364,0.0473,Moderate,-0.1411,0.0148,0,0.0223,Team 01,Premium quality,11461.42,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,8153.64,2
79,8,4,batch_079,Batch market 079,1.3451,0.0103,-0.0766,0.0528,-0.1397,0.2027,Low,0.043,-0.0289,1,0.268,Team 05,Cash conservative,8953.92,Team 07,Premium quality,71.4,Team 06,Team 03,Team 05,2166.33,5
80,7,4,batch_080,Batch market 080,1.6809,-0.0222,-0.0549,0.0021,-0.0766,0.0705,Low,0.2796,0.0475,0,0.3062,Team 01,Premium quality,11083.35,Team 07,Premium quality,73.3,Team 02,Team 06,Team 07,7687.19,2
81,9,4,batch_081,Batch market 081,0.7172,-0.0533,0.0536,-0.0637,-0.0118,0.0912,High,-0.0972,0.2426,0,0.1788,Team 04,Innovation leap,7092.92,Team 05,Cash conservative,75.0,Team 02,Team 05,Team 05,-13771.46,8
82,6,4,batch_082,Batch market 082,1.7085,-0.0546,-0.0966,0.0854,-0.0317,0.1329,Low,-0.159,0.0452,0,0.0052,Team 01,Premium quality,10047.43,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,6181.48,2
83,6,4,batch_083,Batch market 083,0.7717,-0.0199,-0.0848,-0.0932,0.1172,0.0079,Moderate,0.1644,0.0166,0,0.2981,Team 04,Innovation leap,9944.85,Team 01,Premium quality,80.0,Team 01,Team 01,Team 05,-799.52,4
84,8,4,batch_084,Batch market 084,0.8636,0.0977,-0.0233,0.0706,-0.1328,0.089,Moderate,0.1565,0.2245,0,0.336,Team 04,Innovation leap,9240.66,Team 01,Premium quality,74.3,Team 06,Team 01,Team 05,-379.35,5
85,9,4,batch_085,Batch market 085,1.3773,-0.0035,0.0503,0.096,-0.1106,0.1849,Moderate,0.2302,0.1146,0,0.048,Team 05,Cash conservative,8225.84,Team 01,Premium quality,80.0,Team 06,Team 03,Team 01,-1264.38,6
86,5,4,batch_086,Batch market 086,1.1259,0.0369,0.1327,0.0474,-0.0408,0.0112,Moderate,0.0199,0.3212,-1,-0.0729,Team 01,Premium quality,12054.77,Team 01,Premium quality,70.0,Team 04,Team 02,Team 01,9017.11,1
87,9,4,batch_087,Batch market 087,1.1007,0.099,-0.1326,0.0828,0.0798,-0.015,High,0.1255,-0.0733,-1,0.2578,Team 01,Premium quality,11406.95,Team 01,Premium quality,85.0,Team 03,Team 03,Team 05,5241.79,4
88,6,4,batch_088,Batch market 088,1.6118,0.0825,-0.1326,0.0894,0.0546,0.1289,Moderate,0.0043,0.1081,0,0.0022,Team 01,Premium quality,10113.67,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,6327.96,2
89,8,4,batch_089,Batch market 089,1.0297,0.0187,-0.0249,-0.0043,0.045,0.0145,Moderate,0.0446,-0.0111,1,-0.057,Team 05,Cash conservative,8615.81,Team 01,Premium quality,74.3,Team 06,Team 01,Team 05,243.95,5
90,4,4,batch_090,Batch market 090,1.2061,0.0418,0.1012,0.088,0.0247,0.0773,Moderate,0.0617,0.05,0,0.2026,Team 01,Premium quality,10967.43,Team 01,Premium quality,60.0,Team 04,Team 02,Team 01,7805.59,1
91,4,4,batch_091,Batch market 091,0.7685,0.0504,-0.0703,0.0281,-0.1292,0.1768,Moderate,0.26,-0.0459,1,0.0548,Team 01,Premium quality,9322.57,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,3599.63,1
92,10,4,batch_092,Batch market 092,0.973,-0.0351,0.1278,0.0092,-0.1364,0.0024,Moderate,-0.0626,0.0354,0,0.0051,Team 10,Innovation leap,9946.12,Team 01,Premium quality,73.3,Team 06,Team 05,Team 05,-7633.89,8
93,7,4,batch_093,Batch market 093,0.8001,-0.0588,-0.0438,-0.0018,-0.0038,0.0205,Low,-0.2019,-0.0252,0,0.1034,Team 04,Innovation leap,9942.61,Team 01,Premium quality,73.3,Team 02,Team 05,Team 05,-5932.6,5
94,4,4,batch_094,Batch market 094,1.342,0.0522,0.0499,0.0919,-0.0702,-0.0326,High,0.1969,0.2301,0,0.0834,Team 01,Premium quality,12778.76,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,9840.47,1
95,7,4,batch_095,Batch market 095,1.6521,-0.0647,-0.1192,0.0659,-0.0787,0.004,Low,0.2234,-0.0165,-1,0.2435,Team 07,Premium quality,12588.34,Team 07,Premium quality,83.3,Team 02,Team 06,Team 07,8475.62,3
96,10,4,batch_096,Batch market 096,1.1984,0.0819,-0.0419,-0.0406,0.1193,0.0643,Low,0.1438,-0.0134,0,0.1315,Team 10,Innovation leap,11877.0,Team 01,Premium quality,75.6,Team 06,Team 01,Team 05,424.62,7
97,10,4,batch_097,Batch market 097,0.8369,-0.0422,0.1129,-0.0353,0.0312,0.0991,Moderate,-0.0473,-0.0156,0,0.3248,Team 10,Innovation leap,8874.95,Team 10,Innovation leap,80.9,Team 03,Team 05,Team 05,-12438.58,9
98,9,4,batch_098,Batch market 098,1.3971,0.0178,0.1067,0.0152,0.0553,0.0752,High,0.1078,-0.0076,-1,0.3436,Team 01,Premium quality,10551.16,Team 03,Balanced S&OP,85.0,Team 08,Team 03,Team 01,4047.36,5
99,10,4,batch_099,Batch market 099,1.6177,0.0647,-0.1067,-0.0304,0.0692,0.0869,Moderate,0.1188,0.0093,1,-0.0404,Team 03,Balanced S&OP,12221.17,Team 03,Balanced S&OP,93.3,Team 03,Team 03,Team 05,4976.44,6
100,5,4,batch_100,Batch market 100,1.3161,0.0642,0.0199,0.0393,-0.1141,0.0337,Moderate,-0.2049,0.1611,1,0.2085,Team 01,Premium quality,11676.7,Team 01,Premium quality,70.0,Team 04,Team 02,Team 01,7588.61,1
