experiment_mode,scenario_id,scenario_name,round,team_name,strategy_archetype,operating_archetype,demand,actual_demand,forecast,planned_production,actual_production,units_sold,lost_sales,inventory,backlog,revenue,cost,profit,cash,debt,service_level,forecast_error,forecast_wape,defects,warranty_cost,capacity_used,effective_capacity,raw_material_inventory_end,innovation_investment,npd_investment,launched_products,retired_products,launch_events,interest_expense,working_capital_requirement,liquidity_stress,reputation,notes
calibrated,1,Baseline,2,Team 05,Aggressive growth,Community / Club,249.18,249.18,383,325,325,218,0,165,43,26928.0,35864.93,-8936.93,29140.33,20000.0,0.8315,-133.82,0.643,0.0218,208.7,85.3,381,97,4000.0,4000.0,0,0,,440.0,18134.52,TRUE,59.48,"Portfolio forecast WAPE was 64.30% against realized demand. Carried 43 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,2,Team 06,Low-cost volume,Premium Quality,185.72,185.72,263,244,16,85,47,0,53,13073.28,15468.31,-2395.03,28817.74,7000.0,0.4577,-77.28,0.4161,0.0088,33.42,5.1,314,0,1500.0,1500.0,0,0,,154.0,1050.0,TRUE,58.58,"Portfolio forecast WAPE was 41.61% against realized demand. Lost 47 sales units across the portfolio. Carried 53 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,3,Team 01,Cash conservative,Premium Quality,191.34,191.34,151,164,164,157,33,5,9,27966.36,15128.74,12837.62,66548.57,0.0,0.7837,40.34,0.2108,0.005,35.32,62.36,263,36,750.0,750.0,0,0,,0.0,1886.99,FALSE,69.48,Portfolio forecast WAPE was 21.08% against realized demand. Lost 33 sales units across the portfolio. Carried 9 backlog units into next round.
calibrated,1,Baseline,3,Team 02,Balanced S&OP,Sponsorship Growth,269.48,269.48,315,315,315,268,0,165,9,38602.0,33514.19,5087.81,42995.43,3000.0,0.9624,-45.52,0.1689,0.028,336.8,86.3,365,55,2500.0,2500.0,0,0,,66.0,16911.34,TRUE,65.14,"Portfolio forecast WAPE was 16.89% against realized demand. Carried 9 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,3,Team 03,Premium quality,Engineering Challenger,192.34,192.34,180,184,184,189,3,26,14,33513.48,22413.35,11100.13,54144.01,0.0,0.916,12.34,0.0642,0.005,42.53,55.76,330,106,3000.0,3000.0,0,0,,0.0,7034.32,FALSE,67.86,Portfolio forecast WAPE was 6.42% against realized demand. Lost 3 sales units across the portfolio. Carried 14 backlog units into next round.
calibrated,1,Baseline,3,Team 04,Innovation leap,Low-Cost Volume,248.68,248.68,355,348,348,225,0,330,29,24421.95,36601.77,-12179.82,16997.55,21000.0,0.88,-106.32,0.5573,0.046,467.81,74.52,467,38,9000.0,9000.0,0,0,,462.0,26943.48,TRUE,42.85,"Portfolio forecast WAPE was 55.73% against realized demand. Carried 29 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,3,Team 05,Aggressive growth,Community / Club,276.93,276.93,383,325,325,234,16,246,69,28753.92,37728.14,-8974.22,30166.11,30000.0,0.7314,-106.07,0.5683,0.0266,275.71,77.94,417,194,4000.0,4000.0,0,0,,660.0,29103.86,TRUE,54.31,"Portfolio forecast WAPE was 56.83% against realized demand. Lost 16 sales units across the portfolio. Carried 69 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,3,Team 06,Low-cost volume,Premium Quality,189.22,189.22,263,244,244,224,0,16,17,34562.88,28458.52,6104.36,38422.1,10500.0,0.9248,-73.78,0.3899,0.0131,132.2,72.4,337,59,1500.0,1500.0,0,0,,231.0,5145.65,FALSE,60.77,"Portfolio forecast WAPE was 38.99% against realized demand. Carried 17 backlog units into next round. Used $3,500.00 of planned borrowing."
calibrated,1,Baseline,4,Team 01,Cash conservative,Premium Quality,200.86,200.86,151,164,36,39,161,0,9,6825.84,8324.11,-1498.27,65050.3,0.0,0.1858,49.86,0.2482,0.005,8.77,13.69,263,0,750.0,750.0,0,0,,0.0,0.0,FALSE,46.67,Portfolio forecast WAPE was 24.82% against realized demand. Lost 161 sales units across the portfolio. Carried 9 backlog units into next round.
calibrated,1,Baseline,4,Team 02,Balanced S&OP,Sponsorship Growth,290.99,290.99,315,315,55,188,72,29,38,24116.0,20589.23,3526.77,47522.2,4000.0,0.6267,-24.01,0.1475,0.0216,187.23,14.55,378,0,2500.0,2500.0,0,0,,88.0,3552.44,FALSE,56.66,"Portfolio forecast WAPE was 14.75% against realized demand. Lost 72 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,4,Team 03,Premium quality,Engineering Challenger,203.2,203.2,180,184,184,183,19,25,14,32547.96,22798.75,9749.21,63893.22,0.0,0.8425,23.2,0.1142,0.005,41.18,53.49,344,106,3000.0,3000.0,0,0,,0.0,7097.71,FALSE,68.15,Portfolio forecast WAPE was 11.42% against realized demand. Lost 19 sales units across the portfolio. Carried 14 backlog units into next round.
calibrated,1,Baseline,4,Team 04,Innovation leap,Low-Cost Volume,276.4,276.4,345,338,338,224,17,201,34,34729.49,26866.83,7862.66,31860.21,28000.0,0.8104,-68.6,0.5692,0.0453,468.11,70.42,480,31,0,0,1,2,"Launched Team 04 NextGen into slot C, replacing Flex Edge",616.0,19274.14,TRUE,36.94,"Launched Team 04 NextGen into slot C, replacing Flex Edge Portfolio forecast WAPE was 56.92% against realized demand. Lost 17 sales units across the portfolio. Carried 34 backlog units into next round. Generated $10,511.24 from retirement liquidation. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,4,Team 05,Aggressive growth,Community / Club,278.15,278.15,373,316,194,214,64,221,67,25860.48,32253.34,-6392.86,33773.25,40000.0,0.6164,-94.85,0.4473,0.0221,213.59,42.83,453,0,4000.0,4000.0,0,0,,880.0,23995.56,TRUE,45.5,"Portfolio forecast WAPE was 44.73% against realized demand. Lost 64 sales units across the portfolio. Carried 67 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,4,Team 06,Low-cost volume,Premium Quality,202.4,202.4,263,244,244,211,0,47,7,32811.68,29220.89,3590.79,45512.89,14000.0,0.9617,-60.6,0.2994,0.0064,59.05,67.78,360,118,1500.0,1500.0,0,0,,308.0,10818.25,TRUE,63.88,"Portfolio forecast WAPE was 29.94% against realized demand. Carried 7 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,5,Team 01,Cash conservative,Premium Quality,222.76,222.76,151,164,164,162,60,0,9,28761.96,15862.0,12899.96,77950.26,0.0,0.699,71.76,0.3221,0.005,36.44,62.36,263,104,750.0,750.0,0,0,,0.0,4295.2,FALSE,41.61,Portfolio forecast WAPE was 32.21% against realized demand. Lost 60 sales units across the portfolio. Carried 9 backlog units into next round.
calibrated,1,Baseline,5,Team 02,Balanced S&OP,Sponsorship Growth,314.46,314.46,306,306,306,281,33,46,37,40280.0,34174.59,6105.41,54627.61,5000.0,0.7973,8.46,0.1505,0.0225,281.08,78.26,391,374,2500.0,2500.0,0,0,,110.0,19366.29,TRUE,52.91,"Portfolio forecast WAPE was 15.05% against realized demand. Lost 33 sales units across the portfolio. Carried 37 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,5,Team 03,Premium quality,Engineering Challenger,236.06,236.06,180,184,184,200,35,7,14,35283.6,23086.31,12197.29,76090.51,0.0,0.7998,56.06,0.2375,0.005,45.0,51.4,358,106,3000.0,3000.0,0,0,,0.0,5434.58,FALSE,66.82,Portfolio forecast WAPE was 23.75% against realized demand. Lost 35 sales units across the portfolio. Carried 14 backlog units into next round.
calibrated,1,Baseline,5,Team 04,Innovation leap,Low-Cost Volume,230.71,230.71,230,225,225,176,65,240,23,19219.2,19796.66,-577.46,38282.75,35000.0,0.6649,0.71,0.4136,0.0426,338.48,45.64,493,127,0.0,0.0,0,0,,770.0,26466.03,TRUE,25.81,"Portfolio forecast WAPE was 41.36% against realized demand. Lost 65 sales units across the portfolio. Carried 23 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,5,Team 05,Aggressive growth,Community / Club,295.52,295.52,360,305,305,248,48,270,65,30297.6,38524.07,-8226.47,35546.78,50000.0,0.6841,-64.48,0.4161,0.0234,255.18,62.37,489,528,4000.0,4000.0,0,0,,1100.0,45919.53,TRUE,38.67,"Portfolio forecast WAPE was 41.61% against realized demand. Lost 48 sales units across the portfolio. Carried 65 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,5,Team 06,Low-cost volume,Premium Quality,236.48,236.48,263,244,118,163,26,0,53,24215.84,22917.35,1298.49,50311.38,17500.0,0.6695,-26.52,0.1121,0.0064,49.7,30.81,383,0,1500.0,1500.0,0,0,,385.0,2625.0,TRUE,59.19,"Portfolio forecast WAPE was 11.21% against realized demand. Lost 26 sales units across the portfolio. Carried 53 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,6,Team 01,Cash conservative,Premium Quality,220.81,220.81,145,157,157,155,64,0,9,27648.12,15525.89,12122.23,90072.49,0.0,0.6745,75.81,0.3433,0.0055,37.98,59.7,263,81,750.0,750.0,0,0,,0.0,3421.44,FALSE,35.74,Portfolio forecast WAPE was 34.33% against realized demand. Lost 64 sales units across the portfolio. Carried 9 backlog units into next round.
calibrated,1,Baseline,6,Team 02,Balanced S&OP,Sponsorship Growth,331.01,331.01,299,299,299,289,41,46,36,40520.0,34318.27,6201.73,61829.34,6000.0,0.7853,32.01,0.1165,0.0279,362.78,74.01,404,405,2500.0,2500.0,0,0,,132.0,21156.04,TRUE,48.01,"Portfolio forecast WAPE was 11.65% against realized demand. Lost 41 sales units across the portfolio. Carried 36 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,6,Team 03,Premium quality,Engineering Challenger,237.77,237.77,173,177,177,182,63,0,5,32122.44,22644.01,9478.43,85568.94,0.0,0.7229,64.77,0.2724,0.005,40.96,47.58,372,113,3000.0,3000.0,0,1,,0.0,5152.8,FALSE,62.42,Portfolio forecast WAPE was 27.24% against realized demand. Lost 63 sales units across the portfolio. Carried 5 backlog units into next round.
calibrated,1,Baseline,6,Team 04,Innovation leap,Low-Cost Volume,261.65,261.65,219,214,214,172,90,0,22,30241.63,27087.6,3154.03,48436.78,42000.0,0.6043,42.65,0.4756,0.0471,360.86,42.29,506,127,9000.0,9000.0,0,1,,924.0,10356.38,TRUE,11.88,"Portfolio forecast WAPE was 47.56% against realized demand. Lost 90 sales units across the portfolio. Carried 22 backlog units into next round. Generated $11,396.23 from retirement liquidation. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,6,Team 05,Aggressive growth,Community / Club,334.24,334.24,360,305,305,273,60,292,65,33033.6,39746.49,-6712.89,38833.89,60000.0,0.6838,-25.76,0.336,0.0282,344.14,58.1,525,619,4000.0,4000.0,0,0,,1320.0,53045.08,TRUE,30.98,"Portfolio forecast WAPE was 33.60% against realized demand. Lost 60 sales units across the portfolio. Carried 65 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,6,Team 06,Low-cost volume,Premium Quality,234.53,234.53,252,234,234,218,18,13,50,33772.64,30230.21,3542.43,57353.81,21000.0,0.7582,-17.47,0.1512,0.0117,111.53,57.64,406,372,1500.0,1500.0,0,0,,462.0,18603.48,TRUE,56.35,"Portfolio forecast WAPE was 15.12% against realized demand. Lost 18 sales units across the portfolio. Carried 50 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,7,Team 01,Cash conservative,Premium Quality,261.79,261.79,139,151,81,79,182,0,8,14043.36,11007.86,3035.5,93107.99,0.0,0.2917,122.79,0.469,0.005,17.78,30.8,263,0,750.0,750.0,0,0,,0.0,0.0,FALSE,16.49,Portfolio forecast WAPE was 46.90% against realized demand. Lost 182 sales units across the portfolio. Carried 8 backlog units into next round.
calibrated,1,Baseline,7,Team 02,Balanced S&OP,Sponsorship Growth,406.74,406.74,289,289,289,313,93,14,35,42670.0,33201.22,9468.78,72298.12,7000.0,0.707,117.74,0.2895,0.0246,351.1,69.3,417,116,2500.0,2500.0,0,0,,154.0,7060.49,FALSE,41.28,"Portfolio forecast WAPE was 28.95% against realized demand. Lost 93 sales units across the portfolio. Carried 35 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,7,Team 03,Premium quality,Engineering Challenger,134.97,134.97,91,93,93,92,47,0,0,14804.64,14175.61,629.03,86197.97,0.0,0.6573,43.97,0.3258,0.005,20.7,24.09,386,197,3000.0,3000.0,0,1,,0.0,9182.17,FALSE,55.49,Portfolio forecast WAPE was 32.58% against realized demand. Lost 47 sales units across the portfolio.
calibrated,1,Baseline,7,Team 04,Innovation leap,Low-Cost Volume,209.65,209.65,86,84,84,79,121,0,9,10119.9,9059.12,1060.78,56497.56,49000.0,0.3768,123.65,0.5898,0.0533,189.56,16.18,519,246,0,0,1,1,"Launched Team 04 NextGen into slot C, replacing Team 04 NextGen",1078.0,15381.9,TRUE,0.0,"Launched Team 04 NextGen into slot C, replacing Team 04 NextGen Portfolio forecast WAPE was 58.98% against realized demand. Lost 121 sales units across the portfolio. Carried 9 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,7,Team 05,Aggressive growth,Community / Club,408.91,408.91,352,298,298,329,80,253,63,39171.84,39119.52,52.32,48886.21,70000.0,0.6942,56.91,0.171,0.0243,363.63,53.12,561,321,4000.0,4000.0,0,0,,1540.0,42328.47,TRUE,23.79,"Portfolio forecast WAPE was 17.10% against realized demand. Lost 80 sales units across the portfolio. Carried 63 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,7,Team 06,Low-cost volume,Premium Quality,281.93,281.93,243,225,225,235,47,0,49,35805.44,29934.78,5870.66,66724.47,24500.0,0.708,38.93,0.1381,0.008,85.84,52.45,429,450,1500.0,1500.0,0,0,,539.0,21198.0,TRUE,51.85,"Portfolio forecast WAPE was 13.81% against realized demand. Lost 47 sales units across the portfolio. Carried 49 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,8,Team 01,Cash conservative,Premium Quality,294.0,294.0,139,151,151,149,144,0,8,26460.84,15575.54,10885.3,103993.29,0.0,0.4934,155.0,0.5272,0.005,33.52,57.41,263,102,750.0,750.0,0,0,,0.0,4500.24,FALSE,4.13,Portfolio forecast WAPE was 52.72% against realized demand. Lost 144 sales units across the portfolio. Carried 8 backlog units into next round.
calibrated,1,Baseline,8,Team 02,Balanced S&OP,Sponsorship Growth,469.91,469.91,289,289,289,295,174,0,35,40798.0,34404.74,6393.26,79691.38,8000.0,0.5843,180.91,0.385,0.0246,328.81,67.21,430,462,2500.0,2500.0,0,0,,176.0,20206.68,TRUE,29.37,"Portfolio forecast WAPE was 38.50% against realized demand. Lost 174 sales units across the portfolio. Carried 35 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,8,Team 03,Premium quality,Engineering Challenger,0.0,0.0,0,0,0,0,0,0,0,0.0,4008.0,-4008.0,82189.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,400,290,3000.0,3000.0,0,0,,0.0,13809.8,FALSE,60.94,Portfolio forecast WAPE was 0.00% against realized demand.
calibrated,1,Baseline,8,Team 04,Innovation leap,Low-Cost Volume,225.15,225.15,86,84,84,80,145,0,9,10248.0,9300.6,947.4,64444.96,56000.0,0.3417,139.15,0.618,0.0433,155.96,15.79,532,242,0.0,0.0,0,0,,1232.0,16470.7,TRUE,0.0,"Portfolio forecast WAPE was 61.80% against realized demand. Lost 145 sales units across the portfolio. Carried 9 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,8,Team 05,Aggressive growth,Community / Club,471.61,471.61,352,298,298,368,102,175,63,43566.72,40472.17,3094.55,61980.76,80000.0,0.6884,119.61,0.2536,0.0243,409.37,49.92,597,806,4000.0,4000.0,0,0,,1760.0,54413.86,TRUE,16.18,"Portfolio forecast WAPE was 25.36% against realized demand. Lost 102 sales units across the portfolio. Carried 63 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,8,Team 06,Low-cost volume,Premium Quality,327.32,327.32,243,225,225,222,105,0,49,34020.8,30072.75,3948.05,74172.52,28000.0,0.5899,84.32,0.2576,0.008,79.59,49.78,452,225,1500.0,1500.0,0,0,,616.0,13152.75,TRUE,42.98,"Portfolio forecast WAPE was 25.76% against realized demand. Lost 105 sales units across the portfolio. Carried 49 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,9,Team 01,Cash conservative,Premium Quality,287.94,287.94,139,151,151,149,138,0,8,26460.84,15813.35,10647.49,114640.78,0.0,0.5035,148.94,0.5173,0.0055,36.63,57.41,263,75,750.0,750.0,0,0,,0.0,3379.5,FALSE,0.0,Portfolio forecast WAPE was 51.73% against realized demand. Lost 138 sales units across the portfolio. Carried 8 backlog units into next round.
calibrated,1,Baseline,9,Team 02,Balanced S&OP,Sponsorship Growth,458.61,458.61,289,289,289,278,179,0,35,38914.0,35103.51,3810.49,84501.87,9000.0,0.5632,169.61,0.3698,0.0292,365.01,65.24,443,485,2500.0,2500.0,0,0,,198.0,21724.85,TRUE,16.21,"Portfolio forecast WAPE was 36.98% against realized demand. Lost 179 sales units across the portfolio. Carried 35 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,9,Team 03,Premium quality,Engineering Challenger,0.0,0.0,0,0,0,0,0,0,0,0.0,4008.0,-4008.0,78181.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,414,290,3000.0,3000.0,0,0,,0.0,14105.6,FALSE,66.39,Portfolio forecast WAPE was 0.00% against realized demand.
calibrated,1,Baseline,9,Team 04,Innovation leap,Low-Cost Volume,244.7,244.7,86,84,84,80,164,0,9,10248.0,18576.95,-8328.95,63116.01,63000.0,0.3153,158.7,0.6485,0.0435,156.43,15.41,545,238,9000.0,9000.0,0,0,,1386.0,17556.28,TRUE,0.0,"Portfolio forecast WAPE was 64.85% against realized demand. Lost 164 sales units across the portfolio. Carried 9 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,9,Team 05,Aggressive growth,Community / Club,559.12,559.12,352,298,298,364,130,98,63,43075.2,37118.95,5956.25,77937.01,90000.0,0.651,207.12,0.3704,0.0329,533.02,47.08,633,895,0,0,1,1,"Launched Team 05 NextGen into slot C, replacing Club Spin",1980.0,53218.26,TRUE,6.13,"Launched Team 05 NextGen into slot C, replacing Club Spin Portfolio forecast WAPE was 37.04% against realized demand. Lost 130 sales units across the portfolio. Carried 63 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,9,Team 06,Low-cost volume,Premium Quality,321.63,321.63,243,225,225,221,100,0,49,33850.08,31405.01,2445.07,80117.59,31500.0,0.5963,78.63,0.2445,0.0133,131.88,47.37,475,569,1500.0,1500.0,0,0,,693.0,27849.16,TRUE,33.71,"Portfolio forecast WAPE was 24.45% against realized demand. Lost 100 sales units across the portfolio. Carried 49 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,10,Team 01,Cash conservative,Premium Quality,304.87,304.87,139,151,75,73,231,0,8,12972.36,11268.86,1703.5,116344.28,0.0,0.2333,165.87,0.5441,0.005,16.43,28.52,263,0,750.0,750.0,0,0,,0.0,0.0,FALSE,0.0,Portfolio forecast WAPE was 54.41% against realized demand. Lost 231 sales units across the portfolio. Carried 8 backlog units into next round.
calibrated,1,Baseline,10,Team 02,Balanced S&OP,Sponsorship Growth,478.91,478.91,289,289,289,281,197,0,35,39342.0,35091.89,4250.11,89751.98,10000.0,0.5468,189.91,0.3965,0.0246,311.47,63.38,456,196,2500.0,2500.0,0,0,,220.0,9906.44,FALSE,3.73,"Portfolio forecast WAPE was 39.65% against realized demand. Lost 197 sales units across the portfolio. Carried 35 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,10,Team 03,Premium quality,Engineering Challenger,0.0,0.0,0,0,0,0,0,0,0,0.0,4008.0,-4008.0,74173.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,428,290,3000.0,3000.0,0,0,,0.0,14398.5,FALSE,71.84,Portfolio forecast WAPE was 0.00% against realized demand.
calibrated,1,Baseline,10,Team 04,Innovation leap,Low-Cost Volume,260.05,260.05,86,84,84,79,172,0,9,10119.9,9885.96,233.94,70349.95,70000.0,0.3038,174.05,0.6693,0.0533,189.56,15.05,558,234,0,0,1,1,"Launched Team 04 NextGen into slot C, replacing Team 04 NextGen",1540.0,18636.18,TRUE,0.0,"Launched Team 04 NextGen into slot C, replacing Team 04 NextGen Portfolio forecast WAPE was 66.93% against realized demand. Lost 172 sales units across the portfolio. Carried 9 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,10,Team 05,Aggressive growth,Community / Club,572.89,572.89,360,305,305,389,180,5,65,46106.88,37340.62,8766.26,96703.27,100000.0,0.6117,212.89,0.3716,0.0255,450.15,45.59,669,590,0.0,0.0,0,0,,2200.0,36434.83,TRUE,0.0,"Portfolio forecast WAPE was 37.16% against realized demand. Lost 180 sales units across the portfolio. Carried 65 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,10,Team 06,Low-cost volume,Premium Quality,339.28,339.28,243,225,225,222,116,0,49,34020.8,32049.9,1970.9,85588.49,35000.0,0.5718,96.28,0.2838,0.008,79.59,45.18,498,623,1500.0,1500.0,0,0,,770.0,31092.04,TRUE,24.21,"Portfolio forecast WAPE was 28.38% against realized demand. Lost 116 sales units across the portfolio. Carried 49 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,11,Team 01,Cash conservative,Premium Quality,285.23,285.23,139,151,151,149,135,0,8,26460.84,16432.36,10028.48,126372.76,0.0,0.5081,146.23,0.5127,0.005,33.52,57.41,263,97,750.0,750.0,0,0,,0.0,4553.18,FALSE,0.0,Portfolio forecast WAPE was 51.27% against realized demand. Lost 135 sales units across the portfolio. Carried 8 backlog units into next round.
calibrated,1,Baseline,11,Team 02,Balanced S&OP,Sponsorship Growth,435.92,435.92,289,289,289,281,153,0,35,39342.0,36377.68,2964.32,93716.3,11000.0,0.5967,146.92,0.337,0.0246,311.47,61.62,469,531,2500.0,2500.0,0,0,,242.0,24886.56,TRUE,0.0,"Portfolio forecast WAPE was 33.70% against realized demand. Lost 153 sales units across the portfolio. Carried 35 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
