experiment_mode,scenario_id,scenario_name,round,team_name,strategy_archetype,operating_archetype,demand,actual_demand,forecast,planned_production,actual_production,units_sold,lost_sales,inventory,backlog,revenue,cost,profit,cash,debt,service_level,forecast_error,forecast_wape,defects,warranty_cost,capacity_used,effective_capacity,raw_material_inventory_end,innovation_investment,npd_investment,launched_products,retired_products,launch_events,interest_expense,working_capital_requirement,liquidity_stress,reputation,notes
calibrated,1,Baseline,2,Team 05,Aggressive growth,Sponsorship Growth,256.73,256.73,439,372,372,256,0,169,0,35975.04,45239.23,-9264.19,32659.29,20000.0,0.9972,-182.27,0.71,0.0279,322.8,91.63,406,112,4000.0,4000.0,0,0,,440.0,21743.62,TRUE,64.75,"Portfolio forecast WAPE was 71.00% against realized demand. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,2,Team 06,Low-cost volume,Low-Cost Volume,211.25,211.25,521,482,0,156,0,37,54,13313.52,20292.55,-6979.03,11380.99,7000.0,0.7385,-309.75,1.4663,0.1945,459.65,0.0,508,0,1500.0,1500.0,0,0,,154.0,1050.0,TRUE,19.62,"Portfolio forecast WAPE was 146.63% against realized demand. Carried 54 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,3,Team 01,Cash conservative,Community / Club,280.4,280.4,207,225,218,210,70,39,12,26889.24,15883.14,11006.1,54594.63,0.0,0.7182,73.4,0.2752,0.0232,218.82,71.95,303,0,750.0,750.0,0,0,,0.0,2791.99,FALSE,45.82,Portfolio forecast WAPE was 27.52% against realized demand. Lost 70 sales units across the portfolio. Carried 12 backlog units into next round.
calibrated,1,Baseline,3,Team 02,Balanced S&OP,Engineering Challenger,202.21,202.21,200,200,200,203,0,36,3,33362.0,22854.95,10507.05,55537.52,3000.0,0.9797,2.21,0.0336,0.005,45.67,60.42,331,122,2500.0,2500.0,0,0,,66.0,8344.47,FALSE,71.32,"Portfolio forecast WAPE was 3.36% against realized demand. Carried 3 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,3,Team 03,Premium quality,Premium Quality,196.15,196.15,180,184,184,167,16,33,14,31665.6,23195.48,8470.12,54692.99,0.0,0.8428,16.15,0.2158,0.005,37.58,62.16,296,76,3000.0,3000.0,0,0,,0.0,6759.77,FALSE,75.57,Portfolio forecast WAPE was 21.58% against realized demand. Lost 16 sales units across the portfolio. Carried 14 backlog units into next round.
calibrated,1,Baseline,3,Team 04,Innovation leap,Engineering Challenger,198.29,198.29,180,176,176,188,9,6,18,32279.1,26797.56,5481.54,58497.81,21000.0,0.8692,18.29,0.0922,0.005,42.3,54.66,322,96,9000.0,9000.0,0,0,,462.0,7563.52,TRUE,62.28,"Portfolio forecast WAPE was 9.22% against realized demand. Lost 9 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,3,Team 05,Aggressive growth,Sponsorship Growth,275.13,275.13,439,372,372,274,0,253,0,37858.56,47122.09,-9263.53,33395.76,30000.0,0.9959,-163.87,0.5956,0.0322,395.05,83.78,444,224,4000.0,4000.0,0,0,,660.0,35266.57,TRUE,65.34,"Portfolio forecast WAPE was 59.56% against realized demand. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,3,Team 06,Low-cost volume,Low-Cost Volume,215.83,215.83,521,482,482,234,0,250,34,21909.36,40666.33,-18756.97,0.0,14375.98,0.8672,-305.17,1.4139,0.0697,732.21,88.28,546,116,1500.0,1500.0,0,0,,231.0,20881.74,TRUE,12.69,"Portfolio forecast WAPE was 141.39% against realized demand. Carried 34 backlog units into next round. Used $3,500.00 of planned borrowing. Auto-borrowed $3,875.98 to cover a cash shortfall. Liquidity stress flagged this round."
calibrated,1,Baseline,4,Team 01,Cash conservative,Community / Club,246.55,246.55,201,219,0,39,206,0,12,4210.56,6582.7,-2372.14,52222.49,0.0,0.1508,45.55,0.2047,0.0566,42.7,0.0,303,0,750.0,750.0,0,0,,0.0,0.0,FALSE,15.39,Portfolio forecast WAPE was 20.47% against realized demand. Lost 206 sales units across the portfolio. Carried 12 backlog units into next round.
calibrated,1,Baseline,4,Team 02,Balanced S&OP,Engineering Challenger,203.52,203.52,200,200,122,156,25,0,24,25134.0,18973.24,6160.76,62698.28,4000.0,0.7554,3.52,0.0779,0.005,35.1,35.57,343,0,2500.0,2500.0,0,0,,88.0,600.0,FALSE,69.28,"Portfolio forecast WAPE was 7.79% against realized demand. Lost 25 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,4,Team 03,Premium quality,Premium Quality,196.5,196.5,180,184,184,175,20,40,14,33013.44,23651.43,9362.01,64055.0,0.0,0.8314,16.5,0.1393,0.005,39.37,59.55,309,76,3000.0,3000.0,0,0,,0.0,7643.31,FALSE,75.53,Portfolio forecast WAPE was 13.93% against realized demand. Lost 20 sales units across the portfolio. Carried 14 backlog units into next round.
calibrated,1,Baseline,4,Team 04,Innovation leap,Engineering Challenger,310.47,310.47,180,176,176,172,137,8,18,29775.9,18301.95,11473.95,76971.76,28000.0,0.5236,130.47,0.4461,0.0051,38.7,53.17,331,87,0,0,1,0,Launched Team 04 Innovation leap Project into slot C,616.0,8541.69,TRUE,50.59,"Launched Team 04 Innovation leap Project into slot C Portfolio forecast WAPE was 44.61% against realized demand. Lost 137 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,4,Team 05,Aggressive growth,Sponsorship Growth,286.81,286.81,439,372,224,270,0,199,16,36731.52,40336.34,-3604.82,39790.94,40000.0,0.9414,-152.19,0.5306,0.0256,308.98,46.47,482,0,4000.0,4000.0,0,0,,880.0,25026.32,TRUE,65.56,"Portfolio forecast WAPE was 53.06% against realized demand. Carried 16 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,4,Team 06,Low-cost volume,Low-Cost Volume,208.17,208.17,506,468,468,237,0,449,3,22125.84,41751.99,-19626.15,0.0,34002.13,0.9787,-297.83,1.4307,0.0648,682.58,80.14,584,246,1500.0,1500.0,0,0,,393.27,40543.2,TRUE,8.84,"Portfolio forecast WAPE was 143.07% against realized demand. Carried 3 backlog units into next round. Used $3,500.00 of planned borrowing. Auto-borrowed $16,126.15 to cover a cash shortfall. Liquidity stress flagged this round."
calibrated,1,Baseline,5,Team 01,Cash conservative,Community / Club,250.54,250.54,194,212,212,203,46,4,12,26112.0,16031.44,10080.56,62303.05,0.0,0.7732,56.54,0.2387,0.0203,184.77,69.97,303,152,750.0,750.0,0,0,,0.0,5199.99,FALSE,11.11,Portfolio forecast WAPE was 23.87% against realized demand. Lost 46 sales units across the portfolio. Carried 12 backlog units into next round.
calibrated,1,Baseline,5,Team 02,Balanced S&OP,Engineering Challenger,220.11,220.11,200,200,200,198,21,0,24,32617.0,23953.17,8663.83,72362.11,5000.0,0.8111,20.11,0.0914,0.005,44.55,56.34,355,232,2500.0,2500.0,0,0,,110.0,9918.64,FALSE,68.89,"Portfolio forecast WAPE was 9.14% against realized demand. Lost 21 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,5,Team 03,Premium quality,Premium Quality,213.3,213.3,180,184,184,183,30,39,14,34361.28,24058.42,10302.86,74357.86,0.0,0.8051,33.3,0.1561,0.005,41.17,57.14,322,76,3000.0,3000.0,0,0,,0.0,7706.98,FALSE,74.4,Portfolio forecast WAPE was 15.61% against realized demand. Lost 30 sales units across the portfolio. Carried 14 backlog units into next round.
calibrated,1,Baseline,5,Team 04,Innovation leap,Engineering Challenger,335.79,335.79,221,216,216,218,113,3,22,35457.45,22622.79,12834.66,96806.42,35000.0,0.6162,114.79,0.3419,0.0063,61.77,63.53,340,38,0.0,0.0,0,0,,770.0,7141.33,TRUE,42.01,"Portfolio forecast WAPE was 34.19% against realized demand. Lost 113 sales units across the portfolio. Carried 22 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,5,Team 05,Aggressive growth,Sponsorship Growth,292.46,292.46,426,361,361,286,0,263,21,40001.28,49147.94,-9146.66,40644.28,50000.0,0.9272,-133.54,0.4566,0.0265,333.81,69.42,520,607,4000.0,4000.0,0,0,,1100.0,55211.23,TRUE,65.37,"Portfolio forecast WAPE was 45.66% against realized demand. Carried 21 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,5,Team 06,Low-cost volume,Low-Cost Volume,223.79,223.79,506,468,246,196,0,482,29,17473.28,34802.41,-17329.13,0.0,51331.26,0.8642,-282.21,1.261,0.0648,570.21,39.55,622,0,1500.0,1500.0,0,0,,825.05,41377.48,TRUE,2.47,"Portfolio forecast WAPE was 126.10% against realized demand. Carried 29 backlog units into next round. Used $3,500.00 of planned borrowing. Auto-borrowed $13,829.13 to cover a cash shortfall. Liquidity stress flagged this round."
calibrated,1,Baseline,6,Team 01,Cash conservative,Community / Club,272.93,272.93,194,212,212,208,64,0,12,26556.72,16296.65,10260.07,72563.12,0.0,0.73,78.93,0.2892,0.0248,233.01,69.97,303,114,750.0,750.0,0,0,,0.0,3758.58,FALSE,4.67,Portfolio forecast WAPE was 28.92% against realized demand. Lost 64 sales units across the portfolio. Carried 12 backlog units into next round.
calibrated,1,Baseline,6,Team 02,Balanced S&OP,Engineering Challenger,213.61,213.61,193,193,193,191,23,0,23,31329.0,23722.2,7606.8,80968.91,6000.0,0.8038,20.61,0.0965,0.005,42.98,52.59,367,255,2500.0,2500.0,0,0,,132.0,11207.1,TRUE,67.44,"Portfolio forecast WAPE was 9.65% against realized demand. Lost 23 sales units across the portfolio. Carried 23 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,6,Team 03,Premium quality,Premium Quality,207.46,207.46,172,176,176,171,36,0,14,35523.79,23402.44,12121.35,86479.21,0.0,0.7721,35.46,0.186,0.005,38.47,52.54,335,84,3000.0,3000.0,0,1,,0.0,4026.96,FALSE,72.16,"Portfolio forecast WAPE was 18.60% against realized demand. Lost 36 sales units across the portfolio. Carried 14 backlog units into next round. Generated $3,184.27 from retirement liquidation."
calibrated,1,Baseline,6,Team 04,Innovation leap,Engineering Challenger,354.03,354.03,214,210,210,210,146,0,19,33985.35,31604.87,2380.48,106186.9,42000.0,0.5585,140.03,0.3955,0.0056,53.17,60.17,349,33,9000.0,9000.0,0,1,,924.0,7717.35,TRUE,31.37,"Portfolio forecast WAPE was 39.55% against realized demand. Lost 146 sales units across the portfolio. Carried 19 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,6,Team 05,Aggressive growth,Sponsorship Growth,341.88,341.88,417,353,353,313,0,125,49,49416.19,45270.81,4145.38,54789.66,60000.0,0.8625,-75.12,0.2676,0.0361,517.07,63.26,558,723,0,0,1,1,"Launched Team 05 Aggressive growth Project into slot C, replacing Court Wave",1320.0,49056.27,TRUE,62.52,"Launched Team 05 Aggressive growth Project into slot C, replacing Court Wave Portfolio forecast WAPE was 26.76% against realized demand. Carried 49 backlog units into next round. Generated $7,368.19 from retirement liquidation. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,6,Team 06,Low-cost volume,Low-Cost Volume,230.07,230.07,489,453,453,249,0,652,9,23168.64,45400.37,-22231.73,0.0,73562.99,0.9611,-258.93,1.1254,0.0714,788.55,68.64,660,725,1500.0,1500.0,0,0,,1206.29,74874.63,TRUE,0.0,"Portfolio forecast WAPE was 112.54% against realized demand. Carried 9 backlog units into next round. Used $3,500.00 of planned borrowing. Auto-borrowed $18,731.73 to cover a cash shortfall. Liquidity stress flagged this round."
calibrated,1,Baseline,7,Team 01,Cash conservative,Community / Club,329.04,329.04,191,208,114,111,217,0,11,14182.08,11850.52,2331.56,74894.68,0.0,0.3255,138.04,0.4195,0.0212,106.04,37.62,303,0,750.0,750.0,0,0,,0.0,0.0,FALSE,0.0,Portfolio forecast WAPE was 41.95% against realized demand. Lost 217 sales units across the portfolio. Carried 11 backlog units into next round.
calibrated,1,Baseline,7,Team 02,Balanced S&OP,Engineering Challenger,251.15,251.15,184,184,184,182,69,0,22,29988.0,22907.78,7080.22,89049.13,7000.0,0.6639,67.15,0.2674,0.005,40.95,48.55,379,71,2500.0,2500.0,0,0,,154.0,3983.72,FALSE,61.7,"Portfolio forecast WAPE was 26.74% against realized demand. Lost 69 sales units across the portfolio. Carried 22 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,7,Team 03,Premium quality,Premium Quality,126.5,126.5,78,80,80,79,61,0,0,16552.08,13260.18,3291.9,89771.11,0.0,0.5623,48.5,0.3834,0.005,17.78,22.99,348,180,3000.0,3000.0,0,1,,0.0,8820.0,FALSE,61.86,Portfolio forecast WAPE was 38.34% against realized demand. Lost 61 sales units across the portfolio.
calibrated,1,Baseline,7,Team 04,Innovation leap,Engineering Challenger,307.65,307.65,132,129,129,127,168,0,12,18354.0,15047.17,3306.83,116493.73,49000.0,0.4115,175.65,0.5709,0.0091,51.82,36.03,358,104,0,0,1,2,"Launched Team 04 Innovation leap Project into slot C, replacing Team 04 Innovation leap Project",1078.0,11915.6,TRUE,15.1,"Launched Team 04 Innovation leap Project into slot C, replacing Team 04 Innovation leap Project Portfolio forecast WAPE was 57.09% against realized demand. Lost 168 sales units across the portfolio. Carried 12 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,7,Team 05,Aggressive growth,Sponsorship Growth,411.05,411.05,415,352,352,333,51,132,75,44367.36,45731.75,-1364.39,63425.27,70000.0,0.7238,-3.95,0.154,0.0294,441.5,59.06,596,371,0.0,0.0,0,0,,1540.0,38164.54,TRUE,56.06,"Portfolio forecast WAPE was 15.40% against realized demand. Lost 51 sales units across the portfolio. Carried 75 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,7,Team 06,Low-cost volume,Low-Cost Volume,278.59,278.59,480,444,444,286,0,779,0,26000.48,46987.58,-20987.1,0.0,94550.09,0.9945,-201.41,0.723,0.0668,855.89,63.61,698,861,1500.0,1500.0,0,0,,1695.39,92034.09,TRUE,0.0,"Portfolio forecast WAPE was 72.30% against realized demand. Used $3,500.00 of planned borrowing. Auto-borrowed $17,487.10 to cover a cash shortfall. Liquidity stress flagged this round."
calibrated,1,Baseline,8,Team 01,Cash conservative,Community / Club,399.89,399.89,191,208,208,203,195,0,11,25932.48,16640.13,9292.35,84187.03,0.0,0.494,208.89,0.5224,0.0212,193.89,68.65,303,137,750.0,750.0,0,0,,0.0,4716.91,FALSE,0.0,Portfolio forecast WAPE was 52.24% against realized demand. Lost 195 sales units across the portfolio. Carried 11 backlog units into next round.
calibrated,1,Baseline,8,Team 02,Balanced S&OP,Engineering Challenger,306.56,306.56,184,184,184,182,124,0,22,29988.0,23765.47,6222.53,96271.66,8000.0,0.5539,122.56,0.3998,0.005,40.95,47.06,391,294,2500.0,2500.0,0,0,,176.0,13612.68,TRUE,51.17,"Portfolio forecast WAPE was 39.98% against realized demand. Lost 124 sales units across the portfolio. Carried 22 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,8,Team 03,Premium quality,Premium Quality,0.0,0.0,0,0,0,0,0,0,0,0.0,3936.0,-3936.0,85835.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,361,260,3000.0,3000.0,0,0,,0.0,13018.2,FALSE,67.31,Portfolio forecast WAPE was 0.00% against realized demand.
calibrated,1,Baseline,8,Team 04,Innovation leap,Engineering Challenger,221.69,221.69,41,40,40,39,190,0,4,4586.4,6436.35,-1849.95,121643.78,56000.0,0.1669,180.69,0.8151,0.0082,14.47,10.9,367,187,0.0,0.0,0,0,,1232.0,16788.82,TRUE,0.0,"Portfolio forecast WAPE was 81.51% against realized demand. Lost 190 sales units across the portfolio. Carried 4 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,8,Team 05,Aggressive growth,Sponsorship Growth,518.19,518.19,415,352,352,359,157,114,75,47971.2,51796.39,-3825.19,69600.08,80000.0,0.6052,103.19,0.2304,0.0279,450.3,55.52,634,936,4000.0,4000.0,0,0,,1760.0,61351.6,TRUE,45.23,"Portfolio forecast WAPE was 23.04% against realized demand. Lost 157 sales units across the portfolio. Carried 75 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,8,Team 06,Low-cost volume,Low-Cost Volume,341.66,341.66,480,444,444,329,0,863,11,29526.64,48033.94,-18507.3,0.0,113057.39,0.9629,-138.34,0.4049,0.0668,986.3,60.33,736,417,1500.0,1500.0,0,0,,2157.1,89961.23,TRUE,0.0,"Portfolio forecast WAPE was 40.49% against realized demand. Carried 11 backlog units into next round. Used $3,500.00 of planned borrowing. Auto-borrowed $15,007.30 to cover a cash shortfall. Liquidity stress flagged this round."
calibrated,1,Baseline,9,Team 01,Cash conservative,Community / Club,363.82,363.82,191,208,208,200,162,0,11,25544.88,16916.4,8628.48,92815.51,0.0,0.5336,172.82,0.475,0.0257,231.26,68.65,303,100,750.0,750.0,0,0,,0.0,3517.0,FALSE,0.0,Portfolio forecast WAPE was 47.50% against realized demand. Lost 162 sales units across the portfolio. Carried 11 backlog units into next round.
calibrated,1,Baseline,9,Team 02,Balanced S&OP,Engineering Challenger,274.59,274.59,184,184,184,182,91,0,22,29988.0,24206.15,5781.85,103053.51,9000.0,0.6136,90.59,0.3299,0.005,40.95,45.66,403,309,2500.0,2500.0,0,0,,198.0,14674.08,TRUE,42.89,"Portfolio forecast WAPE was 32.99% against realized demand. Lost 91 sales units across the portfolio. Carried 22 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,9,Team 03,Premium quality,Premium Quality,186.36,186.36,0,0,0,0,186,0,0,0.0,936.0,-936.0,84899.11,0.0,0.0,186.36,1.0,0.0107,0.0,0.0,374,260,0,0,1,0,Launched Team 03 Premium quality Project into slot C,0.0,13293.8,FALSE,36.74,Launched Team 03 Premium quality Project into slot C Portfolio forecast WAPE was 100.00% against realized demand. Lost 186 sales units across the portfolio.
calibrated,1,Baseline,9,Team 04,Innovation leap,Engineering Challenger,213.46,213.46,41,40,40,39,174,0,4,4586.4,15671.08,-11084.68,117559.1,63000.0,0.1793,172.46,0.8079,0.0084,14.7,10.64,376,185,9000.0,9000.0,0,0,,1386.0,17924.85,TRUE,0.0,"Portfolio forecast WAPE was 80.79% against realized demand. Lost 174 sales units across the portfolio. Carried 4 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,9,Team 05,Aggressive growth,Sponsorship Growth,457.11,457.11,415,352,352,339,63,112,75,45288.96,49157.51,-3868.55,75731.53,90000.0,0.709,42.11,0.2032,0.0379,576.65,52.38,672,1042,0,0,1,1,"Launched Team 05 Aggressive growth Project into slot C, replacing Team 05 Aggressive growth Project",1980.0,68073.86,TRUE,37.11,"Launched Team 05 Aggressive growth Project into slot C, replacing Team 05 Aggressive growth Project Portfolio forecast WAPE was 20.32% against realized demand. Lost 63 sales units across the portfolio. Carried 75 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,9,Team 06,Low-cost volume,Low-Cost Volume,376.68,376.68,480,444,444,295,0,977,80,26686.88,50396.7,-23709.82,0.0,136767.21,0.7832,-103.32,0.6054,0.0748,1003.47,57.36,774,1086,0,0,1,1,"Launched Team 06 Low-cost volume Project into slot C, replacing Flex Edge",2564.26,122545.56,TRUE,0.0,"Launched Team 06 Low-cost volume Project into slot C, replacing Flex Edge Portfolio forecast WAPE was 60.54% against realized demand. Carried 80 backlog units into next round. Used $3,500.00 of planned borrowing. Auto-borrowed $20,209.82 to cover a cash shortfall. Liquidity stress flagged this round."
calibrated,1,Baseline,10,Team 01,Cash conservative,Community / Club,356.24,356.24,191,208,100,97,258,0,11,12362.4,11871.41,490.99,93306.5,0.0,0.2641,165.24,0.4638,0.0213,92.91,33.0,303,0,750.0,750.0,0,0,,0.0,0.0,FALSE,0.0,Portfolio forecast WAPE was 46.38% against realized demand. Lost 258 sales units across the portfolio. Carried 11 backlog units into next round.
calibrated,1,Baseline,10,Team 02,Balanced S&OP,Engineering Challenger,426.15,426.15,184,184,184,182,243,0,22,29988.0,21747.85,8240.15,112293.66,10000.0,0.4061,242.15,0.5682,0.0051,40.95,44.34,415,125,0,0,1,0,Launched Team 02 Balanced S&OP Project into slot C,220.0,7001.25,FALSE,27.76,"Launched Team 02 Balanced S&OP Project into slot C Portfolio forecast WAPE was 56.82% against realized demand. Lost 243 sales units across the portfolio. Carried 22 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,10,Team 03,Premium quality,Premium Quality,178.11,178.11,36,37,37,36,139,0,3,5365.44,5799.79,-434.35,84464.76,0.0,0.2021,142.11,0.7979,0.005,8.1,9.56,387,223,0.0,0.0,0,0,,0.0,11640.6,FALSE,14.09,Portfolio forecast WAPE was 79.79% against realized demand. Lost 139 sales units across the portfolio. Carried 3 backlog units into next round.
calibrated,1,Baseline,10,Team 04,Innovation leap,Engineering Challenger,205.09,205.09,41,40,40,39,162,0,4,4586.4,6922.88,-2336.48,122222.62,70000.0,0.1902,164.09,0.8001,0.0182,32.02,10.39,385,183,0,0,1,1,"Launched Team 04 Innovation leap Project into slot C, replacing Team 04 Innovation leap Project",1540.0,19058.91,TRUE,0.0,"Launched Team 04 Innovation leap Project into slot C, replacing Team 04 Innovation leap Project Portfolio forecast WAPE was 80.01% against realized demand. Lost 162 sales units across the portfolio. Carried 4 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,10,Team 05,Aggressive growth,Sponsorship Growth,428.37,428.37,415,352,352,337,90,115,75,44928.0,49375.91,-4447.91,81283.62,100000.0,0.6695,13.37,0.1672,0.0294,446.29,49.58,710,690,0.0,0.0,0,0,,2200.0,56140.96,TRUE,28.59,"Portfolio forecast WAPE was 16.72% against realized demand. Lost 90 sales units across the portfolio. Carried 75 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,10,Team 06,Low-cost volume,Low-Cost Volume,362.03,362.03,489,453,453,305,38,1093,98,27760.48,53317.58,-25557.1,0.0,162324.31,0.69,-126.97,0.5687,0.067,917.48,55.79,812,1184,0.0,0.0,0,0,,3085.88,139853.75,TRUE,0.0,"Portfolio forecast WAPE was 56.87% against realized demand. Lost 38 sales units across the portfolio. Carried 98 backlog units into next round. Used $3,500.00 of planned borrowing. Auto-borrowed $22,057.10 to cover a cash shortfall. Liquidity stress flagged this round."
calibrated,1,Baseline,11,Team 01,Cash conservative,Community / Club,370.46,370.46,191,208,208,203,166,0,11,25932.48,17568.29,8364.19,101670.69,0.0,0.5322,179.46,0.4844,0.0212,193.89,68.65,303,134,750.0,750.0,0,0,,0.0,4908.42,FALSE,0.0,Portfolio forecast WAPE was 48.44% against realized demand. Lost 166 sales units across the portfolio. Carried 11 backlog units into next round.
